Binomial,Sex,VolumeUVS,VolumeVS,LociUVS,LociVS,MidpointLat,Temp,Precip,NPP,SolarRad,UVB,BodyMass,Dichro,ForestDep,FruitNect,Migratory,GroundNest,Territorial,CoexistSpp,MatingSys
Acridotheres_grandis,F,0.000540004,0.000396122,64.42844056,54.36176848,22.23410205,244.6717812,1906.800654,7754.884796,213573.1363,4779.802196,39283.51549,0,0,0,0,0,0,160.5667752,NA
Acridotheres_tristis,M,0.000659171,0.000521312,65.8061345,61.13309647,31.37449857,200.8139686,1094.280672,4145.404487,214068.3912,4392.178531,57186.06769,0,1,0,1,0,0,109.3341079,0
Acridotheres_tristis,F,0.000536148,0.000388016,65.58230238,56.48661807,31.37449857,200.8139686,1094.280672,4145.404487,214068.3912,4392.178531,57186.06769,0,1,0,1,0,0,109.3341079,0
Acrocephalus_aedon,M,0.000310192,0.000285697,59.20963442,44.30028756,55.54320001,-7.994116151,414.2544283,2969.128615,158455.5877,1917.194723,1285.46708,0,0,0,1,0,1,79.7932215,NA
Acrocephalus_aedon,F,0.000523446,0.000461412,63.97647247,52.44029494,55.54320001,-7.994116151,414.2544283,2969.128615,158455.5877,1917.194723,1285.46708,0,0,0,1,0,1,79.7932215,NA
Acrocephalus_agricola,M,0.000353259,0.000292417,58.93366095,48.27446923,52.42704462,61.15825742,259.6965378,1841.135653,171568.721,2513.222219,182.7103283,0,0,0,1,0,1,63.0396415,NA
Acrocephalus_agricola,F,0.000316209,0.000315166,59.65355905,50.46695875,52.42704462,61.15825742,259.6965378,1841.135653,171568.721,2513.222219,182.7103283,0,0,0,1,0,1,63.0396415,NA
Acrocephalus_arundinaceus,M,0.000373439,0.000309683,52.35068686,40.63163994,52.26433473,68.25769137,595.9270689,4262.520199,159635.6214,2212.711858,2518.821444,0,0,0,1,0,1,75.06838535,0
Acrocephalus_arundinaceus,F,0.000353642,0.000300581,61.75204471,54.40572316,52.26433473,68.25769137,595.9270689,4262.520199,159635.6214,2212.711858,2518.821444,0,0,0,1,0,1,75.06838535,0
Acrocephalus_australis,M,0.000364247,0.000379632,67.23301949,65.96416788,-22.44101096,221.7070866,1271.601179,6206.453394,228893.5043,4727.149393,747.4198712,0,0,0,1,0,1,86.34104046,NA
Acrocephalus_australis,F,0.002215293,0.002290394,74,75,-22.44101096,221.7070866,1271.601179,6206.453394,228893.5043,4727.149393,747.4198712,0,0,0,1,0,1,86.34104046,NA
Acrocephalus_baeticatus,M,0.000534157,0.000406164,63.22669651,53.36229764,-16.51807252,213.5224318,722.8805227,5306.629785,226472.3727,5196.37157,210.0814566,0,0,0,1,0,1,128.3143339,NA
Acrocephalus_baeticatus,F,0.000651798,0.000607608,67.25159728,57.48412921,-16.51807252,213.5224318,722.8805227,5306.629785,226472.3727,5196.37157,210.0814566,0,0,0,1,0,1,128.3143339,NA
Acrocephalus_bistrigiceps,M,0.000741172,0.000865809,59.55222212,51.88163413,49.51154999,50.71494611,748.9623007,4377.581388,165583.5456,2201.596787,144.5003141,0,0,0,1,0,1,73.57490928,NA
Acrocephalus_bistrigiceps,F,0.000596547,0.000482836,61.96773354,58.39520528,49.51154999,50.71494611,748.9623007,4377.581388,165583.5456,2201.596787,144.5003141,0,0,0,1,0,1,73.57490928,NA
Acrocephalus_brevipennis,M,0.000352993,0.000283535,51.23764525,38.58736555,19.39153962,228.9781927,296.8334829,3997.510426,242591.5086,5572.458225,592.3640885,0,0,0,0,0,1,6,NA
Acrocephalus_brevipennis,F,0.000450065,0.000323379,49.85692431,39.22941704,19.39153962,228.9781927,296.8334829,3997.510426,242591.5086,5572.458225,592.3640885,0,0,0,0,0,1,6,NA
Acrocephalus_caffer,M,0.000395919,0.000283968,66,48,-22.10846038,245.2992058,1938.41345,10012.12843,183295.62,5100.053357,2758.916497,0,1,0,0,0,1,1.5,NA
Acrocephalus_caffer,F,0.000643467,0.000526555,91,69,-22.10846038,245.2992058,1938.41345,10012.12843,183295.62,5100.053357,2758.916497,0,1,0,0,0,1,1.5,NA
Acrocephalus_concinens,M,0.000392297,0.000345148,59.52636357,49.71733839,40.19566852,120.7833526,904.5553341,4044.314288,181560.6333,3309.381146,130.6939593,0,0,0,1,0,1,89.77844914,NA
Acrocephalus_concinens,F,0.000394652,0.000370573,64.49806199,55.4977477,40.19566852,120.7833526,904.5553341,4044.314288,181560.6333,3309.381146,130.6939593,0,0,0,1,0,1,89.77844914,NA
Acrocephalus_dumetorum,M,0.000272674,0.000296206,59.31555528,48.37096818,59.28850233,13.87396328,491.5967342,3815.52057,134835.6959,1706.57132,260.5636193,0,1,0,1,0,1,84.82429835,NA
Acrocephalus_dumetorum,F,0.000794183,0.000689008,71.29822323,55.43706851,59.28850233,13.87396328,491.5967342,3815.52057,134835.6959,1706.57132,260.5636193,0,1,0,1,0,1,84.82429835,NA
Acrocephalus_gracilirostris,M,0.000732758,0.000543095,69.88562084,58.78775383,-16.32941431,213.537274,835.8630145,6107.152274,220597.5616,5251.658938,464.7594264,0,0,0,0,0,1,141.7647778,NA
Acrocephalus_gracilirostris,F,0.000705385,0.00050598,66.25976597,52.58124985,-16.32941431,213.537274,835.8630145,6107.152274,220597.5616,5251.658938,464.7594264,0,0,0,0,0,1,141.7647778,NA
Acrocephalus_griseldis,M,0.000402883,0.000311874,57.51074783,47.1202594,38.63097624,233.0923662,180.2865931,685.1386056,228472.5134,4033.832199,653.7455098,0,0,0,1,0,1,25.78873239,NA
Acrocephalus_griseldis,F,0.000374936,0.000286677,57.64186771,43.66410904,38.63097624,233.0923662,180.2865931,685.1386056,228472.5134,4033.832199,653.7455098,0,0,0,1,0,1,25.78873239,NA
Acrocephalus_melanopogon,M,0.000446883,0.000402045,68.56734103,58.48717668,48.29778962,126.4422972,353.4492106,2666.477734,182318.6988,2831.734476,244.7725932,0,0,0,1,0,1,61.34442935,NA
Acrocephalus_melanopogon,F,0.000695218,0.000668693,70.97638572,63.99991862,48.29778962,126.4422972,353.4492106,2666.477734,182318.6988,2831.734476,244.7725932,0,0,0,1,0,1,61.34442935,NA
Acrocephalus_newtoni,M,0.000456581,0.000354701,53.31883286,46.63609108,-23.99657227,232.3193724,1419.676357,10392.78727,236274.4444,4939.986487,681.1038638,0,1,0,0,0,1,37.88811189,NA
Acrocephalus_newtoni,F,0.000466162,0.000417388,55.46276213,47.43314695,-23.99657227,232.3193724,1419.676357,10392.78727,236274.4444,4939.986487,681.1038638,0,1,0,0,0,1,37.88811189,NA
Acrocephalus_paludicola,M,0.000559557,0.000656178,74.76244838,69.9809472,57.8677301,74.17008334,591.7526853,5663.929786,127915.3523,1632.269505,282.4913135,0,0,0,1,0,1,86.24603175,NA
Acrocephalus_paludicola,F,0.000491077,0.000432042,67.38487922,59.24042467,57.8677301,74.17008334,591.7526853,5663.929786,127915.3523,1632.269505,282.4913135,0,0,0,1,0,1,86.24603175,NA
Acrocephalus_palustris,M,0.00027204,0.000248866,57.66473239,48.52547639,56.77230218,68.88102742,618.0760668,4999.375192,135848.8601,1819.335447,276.915353,0,1,0,1,0,1,79.72582322,0
