i,address,lat,long
541,"São José dos Campos-São Paulo,Brazil",-23.1860383,-45.8866816
546,"La Cumbre, Cordoba,Argentina",-30.9825899,-64.4938784
547,"Tongsa,Bhutan",27.35,90.533333
549,"Las Grutas, Rio Negro,Argentina",-40.99382145,-65.4763359951286
552,"Loreto,Peru",-5,-75
553,"Reserve Naturelle de la Trinite,French Guiana",4.56882965,-53.3104977696421
555,"Pedro Luro-Villarino-Buenos Aires,Argentina",-39.5042374,-62.682928
564,"Region Metropolitana,Chile",-33.4354421,-70.6766162
571,"Yang County, Shaanxi,China",33.338889,107.581111
576,"Saint Pierre de Chartreuse,France",45.3422689,5.8146864
579,"Yacumama, Rioja, San Martin,Peru",-6.0115851,-77.2591494
580,"Rio San Isidro, Santa Cruz, BO,Bolivia",-18.0308155,-64.4385717
582,"Parque Nacional Lihue Calel, La Pampa,Argentina",-37.9351046,-65.6047142056645
592,"Trujillo, La Libertad,Peru",-8.1116778,-79.0287742
594,"Isla Guadalupe,Mexico",29.0347633,-118.269960855901
598,"Reserva Costanera Sur, Buenos Aires,Argentina",-34.6069493,-58.3527423753097
599,"Dwarahat,India",29.7648617,79.4244574174006
600,"Nam Bian,Vietnam",21.0322532,105.840246
601,"La Brule, Reunion,France",-20.9326766,55.4340365
604,"Parque Mahuida, Region Metropolitana,Chile",-33.45724075,-70.5185149264579
607,"Floresta Nacional de Carajás, PA,Brazil",-6.2039103,-50.2964456919494
619,"Kaziranga National Park, Assam,India",26.58874,93.4013905
621,"Sesriem,Namibia",-24.4871301,15.7984921
622,"Narayan Nagar Nainital,India",29.388058,79.4329979
626,"Nimba,Liberia",6.8088813,-8.7461448
627,"Laguna Verde, Magallanes, XII Region,Chile",-53.1847833,-70.3344052947995
631,"Gulmarg Jammu and Kashmir,India",34.04897,74.39212
633,"Mawphlang, Shillong, Meghalaya,India",25.4604175,91.7633589
634,"Wulu,Taiwan",23.1670787,121.0425673
636,"Poções/Bahia,Brazil",-14.5274879,-40.3665326
637,"Corrientes,Argentina",-28.991123,-57.8125605975667
638,"Candelaria, Misiones,Argentina",-27.46661165,-55.7450467807789
642,"Soriano, Rio Negro,Uruguay",-32.7029075,-57.6255296
651,"Norte de la provincia de Corrientes,Argentina",-27.3090028,-58.5536133
652,"Alvear, Corrientes,Argentina",-29.0989143,-56.5534621
660,"Formosa, Provincia Formosa,Argentina",-26.1852983,-58.1744976
661,"Wyspa Sobieszewska,Poland",54.3357898,18.8719449
670,"Villa Pehuenia-Alumine, Neuquen,Argentina",-38.8813069,-71.1740024
671,"Iguazu, Misiones,Argentina",-27.6034457,-55.3175431
672,"Tamworth, NSW,Australia",-31.0900743,150.9290159
674,"Silvania. Cundinamarca,Colombia",4.4034202,-74.387702
675,"Nucleo Picinguaba, Ubatuba, Sao Paulo,Brazil",-23.358196,-44.8502812
676,"PN Aparados da Serra,Brazil",-28.6692723,-50.4346894
679,"Sokoke Forest,Kenya",-3.349628,39.8554760180627
685,"Sierra del Divisor,Peru",-7.14521855,-74.5630244050483
686,"Caparu, Santa Cruz,Bolivia",-16.3709426,-60.9502409
691,"Laguna Ibera, Corrientes,Argentina",-28.0411441,-56.0144485
692,"km 73 area, Bolivar,Venezuela",8.730366,-70.367303
698,"Cartago area,Costa Rica",9.86033435,-83.9227653784872
705,"Sengés - PR,Brazil",-24.1141771,-49.4644197
716,"Fuentes Georginas,Guatemala",14.74874735,-91.4794609277201
718,"Paso Icalma (Villa Pehuenia), Neuquen,Argentina",-38.8456131,-71.255344
722,"N/A,USA",48.24897265,-114.288380946396
725,"Floresta Nacional de Negreiros, Serrita,Brazil",-7.97228425,-39.4190512902179
729,"Guatemala - Kourou,French Guiana",5.138814,-52.6235734
731,"Presidente Figueredo,Brazil",-3.086294,-59.9945764
740,"Sinharaja Forest Reserve,Sri Lanka",6.4010545,80.5026391765279
742,"Ngchelobel,Palau",7.1961126,134.3702405
744,"Yap,Micronesia",9.54626825,138.165159874313
