scinam,syid
phimosus infuscatus,809
eudocimus albus,810
eudocimus ruber,811
plegadis falcinellus,812
plegadis chihi,813
plegadis ridgwayi,814
lophotibis cristata,815
platalea leucorodia,816
platalea minor,817
platalea alba,818
platalea regia,819
platalea flavipes,820
ajaia ajaja,821
platalea ajaja,821
zonerodius heliosylus,822
tigriornis leucolopha,823
tigriornis leucolophus,823
tigrisoma lineatum,824
tigrisoma fasciatum,825
tigrisoma mexicanum,826
ardea alba,877
agamia agami,827
cochlearius cochlearia,828
cochlearius cochlearius,828
zebrilus undulatus,829
botaurus stellaris,830
botaurus poiciloptilus,831
botaurus lentiginosus,832
botaurus pinnatus,833
ixobrychus involucris,834
ixobrychus exilis,835
ixobrychus minutus,836
ixobrychus dubius,837
ixobrychus novaezelandiae,838
ixobrychus sinensis,839
ixobrychus eurhythmus,840
ixobrychus cinnamomeus,841
ixobrychus sturmii,842
dupetor flavicollis,843
ixobrychus flavicollis,843
gorsachius magnificus,844
nycticorax magnificus,844
gorsachius goisagi,845
nycticorax goisagi,845
gorsachius melanolophus,846
nycticorax melanolophus,846
gorsachius leuconotus,847
nycticorax leuconotus,847
nycticorax nycticorax,848
nycticorax olsoni,849
nycticorax duboisi,850
nycticorax mauritianus,851
nycticorax megacephalus,852
nycticorax caledonicus,853
nyctanassa violacea,854
nycticorax violaceus,854
nyctanassa carcinocatactes,855
butorides virescens,856
butorides sundevalli,857
ardeola striata,858
butorides striata,858
butorides striatus,858
ardeola ralloides,859
ardeola grayii,860
ardeola bacchus,861
ardeola speciosa,862
ardeola idae,863
ardeola rufiventris,864
bubulcus ibis,865
egretta ibis,865
bubulcus coromandus,866
ardea cinerea,867
ardea herodias,868
ardea cocoi,869
ardea pacifica,870
ardea melanocephala,871
ardea humbloti,872
ardea imperialis,873
ardea insignis,873
ardea sumatrana,874
ardea goliath,875
ardea purpurea,876
pilherodius pileatus,879
syrigma sibilatrix,880
ardea intermedia,881
egretta intermedia,881
mesophoyx intermedia,881
ardea picata,882
egretta picata,882
egretta novaehollandiae,883
egretta rufescens,884
egretta ardesiaca,885
egretta vinaceigula,886
egretta tricolor,887
egretta caerulea,888
egretta thula,889
egretta garzetta,890
egretta gularis,891
egretta dimorpha,892
egretta sacra,893
egretta eulophotes,894
scopus umbretta,895
balaeniceps rex,896
pelecanus onocrotalus,897
pelecanus rufescens,898
pelecanus philippensis,899
pelecanus crispus,900
pelecanus conspicillatus,901
pelecanus erythrorhynchos,902
pelecanus occidentalis,903
pelecanus thagus,904
fregata aquila,905
fregata andrewsi,906
fregata magnificens,907
fregata minor,908
fregata ariel,909
morus bassanus,910
sula bassana,910
morus capensis,911
sula capensis,911
morus serrator,912
sula serrator,912
papasula abbotti,913
sula abbotti,913
sula nebouxii,914
sula variegata,915
sula dactylatra,916
sula granti,917
sula sula,918
sula leucogaster,919
microcarbo melanoleucos,920
phalacrocorax melanoleucos,920
microcarbo africanus,921
phalacrocorax africanus,921
microcarbo coronatus,922
phalacrocorax coronatus,922
microcarbo niger,923
phalacrocorax niger,923
microcarbo pygmeus,924
phalacrocorax pygmaeus,924
phalacrocorax pygmeus,924
phalacrocorax gaimardi,925
turnix sylvatica,1466
phalacrocorax harrisi,926
phalacrocorax neglectus,927
phalacrocorax punctatus,928
phalacrocorax featherstoni,929
phalacrocorax perspicillatus,930
phalacrocorax penicillatus,931
phalacrocorax pelagicus,932
phalacrocorax urile,933
phalacrocorax brasilianus,934
phalacrocorax olivaceus,934
