id,lat,lon,perc_forest
380,51.6992,-5.2738,18.9230769230769
381,45.5339,13.9761,21.7
382,58.4834,14.5014,30.4615384615385
383,40.2668,67.7498,0
384,36.9162,98.9309,0
385,14.0679,101.2583,1.625
386,6.194503,81.224298,53
387,15.5161,73.8919,13.8888888888889
388,23.7216,120.6099,70.875
389,21.8259,111.4281,89.75
390,25.4334,114.3667,98.6666666666667
391,27.0258,117.0827,93.3
392,29.2142,117.5626,75.1111111111111
393,4.9634,117.8028,86
394,1.6096,110.187,100
395,5.37,117.42,100
396,-0.1126,114.8556,95.9
397,-2.0498,101.3073,100
398,27.1301,90.6839,100
399,18.5888,98.4853,60.5
400,27.11667,92.43333,60.5
401,27.3071,91.1643,71
402,30.9939,103.1601,100
403,27.1001,92.4001,100
404,27.1001,92.4001,100
405,27.3074,91.1639,68.6666666666667
406,27.1001,92.4001,100
407,29.6017,102.8978,90.125
408,30.9939,103.1601,100
409,29.6987,102.9542,74.5555555555556
410,26.8342,100.3364,42.6666666666667
411,22.3339,103.8499,73.5
412,25.6501,94.0334,85.375
413,24.9745,102.6257,51.75
414,23.4686,120.9391,96.125
415,23.4855,120.8524,100
416,23.512,120.8906,93.4444444444444
417,12.1239,106.912,50.2222222222222
418,12.05,108.45,100
419,12.05,108.45,100
420,12.05,108.45,100
421,27.1001,92.4001,100
422,27.1167,92.4333,60.5
423,27.2828,92.2639,41.4444444444445
424,28.2311,95.8988,100
425,20.1299,99.164,95.4444444444444
426,21.8259,111.4281,89.75
427,33.2713,107.6916,26
428,16.0996,99.1075,87
429,29.494,113.383,92.1111111111111
430,3.7119,101.7365,65.875
431,16.2,107.8667,100
432,11.8824,108.4055,100
433,12.05,108.45,100
434,3.712,101.7381,57.5555555555556
435,12.8469,99.5799,47.2222222222222
436,21.5834,77.3334,96.1111111111111
437,22.3284,94.4967,100
438,15.03,98.903,100
439,15.576,73.768,77
440,-6.7515,106.9898,100
441,-6.7461,106.5182,100
442,-6.7515,106.9898,100
443,-6.7,107,100
444,-6.75147881164794,106.9897899629,100
445,24.9745,102.6257,51.75
446,33.3008,103.9356,21.6666666666667
447,20.3583,105.6006,100
448,20.3167,105.6083,100
449,9.46796895,77.5652532906592,5.75
450,17.5103,100.9369,100
451,20.93333,106.36667,0
452,30.894,102.989,72
453,30.8967,102.982,43.8888888888889
454,33.0448,103.7231,53.6666666666667
455,29.6017,102.8978,90.125
456,28.4013,83.6999,60.7272727272727
457,27.0495,88.0312,76.4444444444445
458,21.2333,93.9167,100
459,22.303333,103.775,88.7777777777778
460,-4.1331,138.73,53.1111111111111
461,-4.1393,138.7993,41.75
462,-5.9667,143.0667,86
463,-5.9667,143.1334,94.625
464,-5.962,143.067,58
465,-28.69,-57.434,5.72727272727273
466,-15.3541,35.3024,85.1111111111111
467,-15.9572,35.6549,99.6666666666667
468,-2.326,28.715,100
469,0.8233,30.09,100
470,5.2877,-2.6417,100
471,5.2227,-4.8148,100
472,5.3536,-1.384,95.1428571428571
473,-18.2447,35.2615,41.625
474,-7.7834,36.4995,94.9
475,-10.5932,33.6922,78.7777777777778
476,-7.8704,36.3515,100
477,-4.988,38.6454,72.8571428571429
478,-1.237,36.8278,96.375
479,-0.2649,30.16,100
480,-1.2416,36.8422,83.1428571428572
481,-2.326,28.715,100
482,-2.4903,29.1811,95.75
483,-3.1487,126.5848,95.7142857142857
484,-2.8501,129.4533,100
485,-3.1345,126.2356,75
486,-0.4239,121.8498,100
487,-0.4409,121.8178,96.375
488,10.198,118.912,100
489,8.7201,99.6762,100
490,-6.5998,106.7962,78.75
491,-1.1167,116.8167,100
492,4.6781,102.0581,92.375
493,15.0081,98.913,79.125
494,16.0926,99.1146,100
495,26.6667,93.3501,93.6666666666667
496,3.9697,115.597,100
497,11.3473,107.1501,35.8888888888889
498,3.693,101.746,100
499,8.9958,98.4673,100
500,9.1385,98.6199,57.875
501,14.1821,101.5069,94.1428571428571
503,14.0583,108.2772,23.25
504,10.6167,104.0501,100
505,14.4,101.4,100
506,-20.25,-46.6166666667,15
507,-28.8619,-49.2669,0.777777777777778
508,-18.102,-64.597,12.8888888888889
509,-18.9439,-46.9925,0
510,-4.1393,138.7993,41.75
