Species	Class	Habitat breadth (Within-class co-occurrence index; multiplicative beta)	Habitat breadth (co-occurrence among species from all four classes; multiplicative beta)	Habitat breadth (Within-class co-occurrence index; additive beta)	Habitat breadth (co-occurrence among species from all four classes; additive beta)	Number-habitat-classes	Total-number-IUCN-habitat-categories
Lalage-aurea	AVES	2.559500753	2.784954363	3624.5	7676.75	2	4
Lalage-leucomela	AVES	3.420543357	3.744835575	5575.857143	12187.28571	4	7
Lalage-leucopyga	AVES	1.8705615	1.958153224	3065.666667	6946.333333	1	3
Lalage-leucopygialis	AVES	2.869333333	2.975323417	4207	8666.25	3	4
Lalage-maculosa	AVES	2.403208929	2.523223637	4024	8945.75	2	4
Lalage-melanoleuca	AVES	0.999801035	0.999904086	0	0	1	1
Lalage-moesta	AVES	2.946212544	3.147104928	4183.8	8767.2	3	5
Lalage-nigra	AVES	3.774012136	4.055869599	5356.428571	11276.28571	4	7
Lalage-sharpei	AVES	2.378151261	2.400308523	3445	7263	2	3
Lalage-sueurii	AVES	4.305174178	4.819190732	6139.7	13318.9	5	10
Lalage-tricolor	AVES	3.224911032	3.45181428	3127	6285	4	6
Lampornis-amethystinus	AVES	1.469689958	1.503215259	2031	4618	1	2
Lampornis-calolaemus	AVES	1.674435411	1.718727915	1867.5	4069	1	2
Lampornis-castaneoventris	AVES	1.8705615	1.958153224	3065.666667	6946.333333	1	3
Lampornis-clemenciae	AVES	1.469689958	1.503215259	2031	4618	1	2
Lampornis-hemileucus	AVES	2.268422808	2.436277168	3805	8608.25	2	4
Lampornis-sybillae	AVES	1.87307215	1.906944323	2463.5	5205.5	2	2
Lampornis-viridipallens	AVES	1.469689958	1.503215259	2031	4618	1	2
Lamprolaima-rhami	AVES	1.800118741	1.846684402	2022.5	4297.5	2	2
Lamprolia-victoriae	AVES	1.632980333	1.675788532	2093	4532.5	2	2
Lampropsar-tanagrinus	AVES	2.65078849	2.677370275	3385.666667	6983.333333	2	3
Lamprospiza-melanoleuca	AVES	1.767393868	1.83381437	2604	5490	2	2
Lamprotornis-acuticaudus	AVES	1.632946379	1.687043796	1146	2260	2	2
Lamprotornis-australis	AVES	0.999431172	0.999635036	0	0	1	1
Lamprotornis-caudatus	AVES	2.052933308	2.191458027	1837.666667	3776.333333	3	3
Lamprotornis-chalcurus	AVES	1.968277311	1.973983144	1537.333333	2659	2	3
Lamprotornis-chalybaeus	AVES	2.290789634	2.441946592	3537.333333	7398.666667	3	3
Lamprotornis-chloropterus	AVES	2.039910897	2.135514535	1868.333333	3425.333333	2	3
Lamprotornis-corruscus	AVES	0.999801035	0.999904086	0	0	1	1
Lamprotornis-cupreocauda	AVES	1.632980333	1.675788532	2093	4532.5	2	2
Lamprotornis-elisabeth	AVES	2.039910897	2.135514535	1868.333333	3425.333333	2	3
Lamprotornis-hildebrandti	AVES	1.518645861	1.555378993	981.5	1748.5	2	2
Lamprotornis-mevesii	AVES	1.876824818	1.855369671	962	1586	1	2
Lamprotornis-nitens	AVES	3.415642458	3.712982027	3604.333333	8126.833333	4	6
Lamprotornis-ornatus	AVES	2.038466049	2.128041887	2952.666667	6320.666667	2	3
Lamprotornis-pulcher	AVES	1.518645861	1.555378993	981.5	1748.5	2	2
Lamprotornis-purpureiceps	AVES	0.999801035	0.999904086	0	0	1	1
Lamprotornis-purpureus	AVES	2.769171185	2.92615868	2741.8	5395.4	3	5
Lamprotornis-purpuroptera	AVES	2.459674849	2.534929426	2290.5	4296.5	2	4
Lamprotornis-shelleyi	AVES	1.518645861	1.555378993	981.5	1748.5	2	2
Lamprotornis-splendidus	AVES	3.485204082	3.750102157	4872	10096.16667	3	6
Lamprotornis-superbus	AVES	4.706917796	5.15645551	6318.7	13589.7	4	10
Laniarius-aethiopicus	AVES	3.680440771	4.126861868	6082.25	13803.75	4	8
Laniarius-amboimensis	AVES	0.999723604	0.999873801	0	0	1	1
Laniarius-atrococcineus	AVES	1.518645861	1.555378993	981.5	1748.5	2	2
Laniarius-atroflavus	AVES	3.394308943	3.478249136	4359.6	9184.4	3	5
Laniarius-barbarus	AVES	3.157393851	3.467548542	2948	6380.6	4	5
Laniarius-bicolor	AVES	4.439233203	4.870201097	4620.75	9527.5	4	8
Laniarius-brauni	AVES	0.999801035	0.999904086	0	0	1	1
Laniarius-erythrogaster	AVES	3.68269478	3.932854311	3478.666667	7892.333333	4	6
Laniarius-ferrugineus	AVES	4.039748954	4.512011389	5813	13158.55556	5	9
Laniarius-fuelleborni	AVES	2.380448912	2.528453528	3983.25	8844.25	2	4
Laniarius-funebris	AVES	2.548226327	2.656493967	2641.5	4669	2	4
Laniarius-leucorhynchus	AVES	3.966718096	4.325771575	5769.571429	12085.42857	4	7
Laniarius-luehderi	AVES	3.019755038	3.258498822	5113	11184.33333	3	6
Laniarius-mufumbiri	AVES	0.99890471	0.999496222	0	0	1	1
Laniarius-poensis	AVES	0.999723604	0.999873801	0	0	1	1
Laniarius-ruficeps	AVES	1.518645861	1.555378993	981.5	1748.5	2	2
Laniarius-turatii	AVES	2.200091943	2.319466248	3481.666667	7285.333333	2	3
Laniisoma-elegans	AVES	2.124617269	2.070295405	3674	7827	2	3
Lanio-aurantius	AVES	0.999801035	0.999904086	0	0	1	1
Laniocera-hypopyrra	AVES	2.429297659	2.559949516	3562.333333	7417	2	3
Laniocera-rufescens	AVES	2.58973636	2.476026755	3759.666667	7871.666667	2	3
Lanio-fulvus	AVES	1.469689958	1.503215259	2031	4618	1	2
Lanio-leucothorax	AVES	0.999801035	0.999904086	0	0	1	1
Lanioturdus-torquatus	AVES	3.534644195	3.800542215	3249.4	7232	3	5
Lanio-versicolor	AVES	1.632980333	1.675788532	2093	4532.5	2	2
Lanius-bucephalus	AVES	3.834457036	3.768627169	3294.166667	6410.833333	3	6
Lanius-cabanisi	AVES	2.039910897	2.135514535	1868.333333	3425.333333	2	3
Lanius-collaris	AVES	5.109088005	5.598981767	4678.636364	10594.54545	4	11
Lanius-collurio	AVES	6.025507636	5.991933241	4608.230769	9664.230769	5	13
Lanius-collurioides	AVES	3.233094362	3.49826854	5763.5	12746.33333	4	6
Lanius-cristatus	AVES	5.979626738	6.183653977	6698.1	15197.4	4	10
Lanius-dorsalis	AVES	1.62691539	1.580319442	942	1581.5	2	2
Lanius-excubitor	AVES	5.892857143	5.677665856	3488.272727	7346.636364	4	11
Lanius-excubitoroides	AVES	3.060310167	3.175756089	2990.166667	5912.166667	3	6
Lanius-gubernator	AVES	2.991484185	3.290917836	4912	10479.2	3	5
Lanius-isabellinus	AVES	4.276963413	4.378611252	3438.125	6667	4	8
Lanius-ludovicianus	AVES	3.967843137	4.126430176	3785	7481.375	3	8
Lanius-mackinnoni	AVES	3.800476163	4.029143269	6029.375	13149.375	3	8
Lanius-marwitzi	AVES	1.905206287	1.876393334	1844	3971.5	2	2
Lanius-minor	AVES	4.260403088	4.335335636	3613.888889	7404.333333	3	9
Lanius-newtoni	AVES	1.469689958	1.503215259	2031	4618	1	2
Lanius-nubicus	AVES	3.775569093	3.971931637	4329.5	8630.375	4	8
Lanius-schach	AVES	5.240320499	5.538070799	7169.454545	15675.90909	5	11
Lanius-senator	AVES	4.929476351	5.201601063	6204.333333	13355.55556	4	9
Lanius-somalicus	AVES	1.648520278	1.635304273	888.5	1473	1	2
Lanius-souzae	AVES	0.999431172	0.999635036	0	0	1	1
Lanius-sphenocercus	AVES	4.125692308	4.121947554	2903.428571	5936.714286	2	7
Lanius-tephronotus	AVES	4.256513026	4.577518478	6320.444444	13661.55556	4	9
Lanius-tigrinus	AVES	4.318274789	4.505043103	5331.571429	11617.71429	4	7
Lanius-validirostris	AVES	2.380448912	2.528453528	3983.25	8844.25	2	4
Lanius-vittatus	AVES	4.176073132	4.176195637	3425.714286	6699.142857	3	7
Larosterna-inca	AVES	1.84320766	2.215611354	257.1818182	405.9090909	1	11
Larus-argentatus	AVES	8.530204822	10.3388632	2641.363636	4683.590909	4	22
Larus-atlanticus	AVES	2.570762479	3.019312766	441.5384615	620.3076923	1	13
Larus-atricilla	AVES	1.610105838	1.929378531	199.5555556	330	1	9
Larus-audouinii	AVES	3.334836528	5.72036018	691.3333333	1888.2	1	15
Larus-belcheri	AVES	1.547963649	1.831686226	181.8888889	300.2222222	1	9
Larus-brunnicephalus	AVES	3.914086529	5.307354432	1580.111111	4250.444444	2	9
Larus-bulleri	AVES	7.515078408	9.010225982	2701.5	7050.888889	4	18
Larus-cachinnans	AVES	7.37709853	8.795210821	3240.941176	7526.588235	4	17
Larus-californicus	AVES	7.603514241	9.692830189	2589.944444	5120.111111	3	18
Larus-canus	AVES	6.796704167	9.112157786	2033.388889	4593.833333	3	18
Larus-cirrocephalus	AVES	8.7004212	9.803840765	2926.133333	7122.133333	3	15
Larus-crassirostris	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Larus-delawarensis	AVES	4.898963731	6.553433666	1506	3378.769231	3	13
Larus-dominicanus	AVES	3.297147002	4.370506536	731.8461538	1270.384615	2	13
Larus-fuliginosus	AVES	2.082521118	2.450509898	334.2	484.6	1	10
Larus-fuscus	AVES	9.666240175	11.75731122	3648.153846	8531.961538	4	26
Larus-genei	AVES	6.659829599	9.377042913	1709.190476	4174.761905	3	21
Larus-glaucescens	AVES	6.334691798	8.556172129	2095.4	4812.266667	4	15
Larus-glaucoides	AVES	1.639030612	1.944770858	201.4	322.6	1	10
Larus-hartlaubii	AVES	6.229331118	8.221233507	1399.555556	2615.888889	3	18
Larus-heermanni	AVES	2.409994627	2.856829268	404.6923077	586.6153846	1	13
Larus-hemprichii	AVES	6.463508843	7.312466655	1280.761905	1691.238095	2	21
Larus-hyperboreus	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Larus-ichthyaetus	AVES	8.695099819	11.41628577	2827.666667	7054.809524	4	21
Larus-leucophthalmus	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Larus-livens	AVES	1.610105838	1.929378531	199.5555556	330	1	9
Larus-maculipennis	AVES	5.234554315	6.005491329	2449.727273	4724.363636	3	11
Larus-marinus	AVES	2.48880597	3.234550562	400	682.8571429	1	14
Larus-melanocephalus	AVES	6.634743875	7.917565301	2531	5413.5625	3	16
Larus-michahellis	AVES	9.487044651	10.86197766	3551.64	8195.12	4	25
Larus-minutus	AVES	6.348754448	8.966749534	1879.75	5128.4	2	20
Larus-modestus	AVES	1.482579689	1.772256729	163.75	280.75	1	8
Larus-novaehollandiae	AVES	5.716923629	7.089010842	2024.923077	3500.307692	3	13
Larus-occidentalis	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Larus-pacificus	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Larus-philadelphia	AVES	4.188129899	5.445924516	1295.090909	2549.727273	3	11
Larus-pipixcan	AVES	7.473941578	9.177412895	2516.45	5105.75	3	20
Larus-relictus	AVES	2.007575758	2.188016529	400	1151	2	3
Larus-ridibundus	AVES	9.325482033	11.14028797	3305.130435	7992.869565	4	23
Larus-saundersi	AVES	1.888493476	2.092081031	281.875	371.625	1	8
Larus-schistisagus	AVES	2.780373832	4.634854772	610.6	1753	1	10
Larus-scopulinus	AVES	6.618566619	8.69398966	2337.2	4763.066667	3	15
Larus-serranus	AVES	3.409777534	3.63297572	1755.8	4664	2	5
Larus-thayeri	AVES	4.601145879	6.629110751	1362.833333	3181.916667	2	12
Laterallus-albigularis	AVES	0.99890471	0.999496222	0	0	1	1
Laterallus-exilis	AVES	1.826666667	1.799612778	745	1653	2	2
Laterallus-jamaicensis	AVES	1.839319471	1.895900507	445	973.5	2	2
Laterallus-leucopyrrhus	AVES	0.99890471	0.999496222	0	0	1	1
Laterallus-levraudi	AVES	3.137667304	3.069306931	1119	2509	2	4
Laterallus-melanophaius	AVES	0.99890471	0.999496222	0	0	1	1
Laterallus-ruber	AVES	0.99890471	0.999496222	0	0	1	1
Laterallus-spilonotus	AVES	4.737925574	4.729533944	4722	9697.166667	3	6
Laterallus-tuerosi	AVES	1.50203252	1.539163498	248	710	1	2
Laterallus-xenopterus	AVES	0.997695853	0.998964803	0	0	1	1
Lathamus-discolor	AVES	3.04184193	3.011324471	2306.75	5107.25	3	4
Lathrotriccus-euleri	AVES	2.268422808	2.436277168	3805	8608.25	2	4
Lathrotriccus-griseipectus	AVES	1.97553313	2.058730731	3416.666667	7830.666667	1	3
Latoucheornis-siemsseni	AVES	0.999303136	0.999550562	0	0	1	1
Legatus-leucophaius	AVES	2.888003677	3.013472436	4930.2	10731.6	2	5
Leiothrix-argentauris	AVES	2.826516889	3.051448491	4618.8	10240.6	3	5
Leiothrix-lutea	AVES	3.798197296	4.156545536	5589	13018.14286	3	7
Leipoa-ocellata	AVES	3.045565267	3.194315834	2856.2	6162.2	3	5
Leonardina-woodi	AVES	1.469689958	1.503215259	2031	4618	1	2
Lepidocolaptes-affinis	AVES	3.66064183	3.863684575	4809.666667	10350.83333	3	6
Lepidocolaptes-albolineatus	AVES	2.67645684	2.863089015	4304.8	9624.6	2	5
Lepidocolaptes-angustirostris	AVES	4.314105368	4.746453901	5893.111111	12679	3	9
Lepidocolaptes-falcinellus	AVES	1.469689958	1.503215259	2031	4618	1	2
Lepidocolaptes-lacrymiger	AVES	2.922482492	3.008495637	3981.5	8689.25	2	4
Lepidocolaptes-leucogaster	AVES	2.279365591	2.419201001	3973.75	9077.5	1	4
Lepidocolaptes-souleyetii	AVES	3.530745375	3.97600933	5917.25	13398.25	3	8
Lepidocolaptes-squamatus	AVES	2.475941934	2.628259649	4525.5	10147.5	2	4
Lepidopyga-coeruleogularis	AVES	2.559500753	2.784954363	3624.5	7676.75	2	4
Lepidopyga-goudoti	AVES	3.700444884	3.990056952	5464	11879.375	4	8
Lepidopyga-lilliae	AVES	1.812861518	1.856384109	1195.5	2016.5	2	2
Lepidothrix-coeruleocapilla	AVES	2.083974226	2.169747303	3477.666667	7700.666667	2	3
Lepidothrix-coronata	AVES	1.469689958	1.503215259	2031	4618	1	2
Lepidothrix-iris	AVES	0.999801035	0.999904086	0	0	1	1
Lepidothrix-isidorei	AVES	1.469689958	1.503215259	2031	4618	1	2
Lepidothrix-nattereri	AVES	0.999801035	0.999904086	0	0	1	1
Lepidothrix-serena	AVES	0.999801035	0.999904086	0	0	1	1
Lepidothrix-suavissima	AVES	1.469689958	1.503215259	2031	4618	1	2
Lepidothrix-vilasboasi	AVES	0.999801035	0.999904086	0	0	1	1
Leptasthenura-aegithaloides	AVES	2.969380134	3.049136276	2638	5339	2	4
Leptasthenura-andicola	AVES	2.459405941	2.53815261	2457.666667	5363	3	3
Leptasthenura-fuliginiceps	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Leptasthenura-pileata	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Leptasthenura-platensis	AVES	2.297736917	2.452172303	3671	7844.666667	2	3
Leptasthenura-setaria	AVES	2.611237773	2.740123103	4382.6	9726.2	3	5
Leptasthenura-striata	AVES	2.478773229	2.625291285	3263.666667	6975.666667	2	3
Leptasthenura-striolata	AVES	2.515326361	2.422982885	1401.666667	2911	2	3
Leptasthenura-xenothorax	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Leptasthenura-yanacensis	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Leptodon-cayanensis	AVES	2.991344787	3.071101617	3854.75	8484.75	2	4
Leptodon-forbesi	AVES	0.999801035	0.999904086	0	0	1	1
Leptopoecile-elegans	AVES	1.518684604	1.513043478	348	1004	2	2
Leptopoecile-sophiae	AVES	1.518684604	1.513043478	348	1004	2	2
Leptopogon-amaurocephalus	AVES	2.56434006	2.763810302	3547.75	7560.25	2	4
Leptopogon-rufipectus	AVES	0.999723604	0.999873801	0	0	1	1
Leptopogon-superciliaris	AVES	2.124617269	2.070295405	3674	7827	2	3
Leptopogon-taczanowskii	AVES	0.999723604	0.999873801	0	0	1	1
Leptopterus-chabert	AVES	3.540562599	3.973971098	5837.625	13197.625	3	8
Leptoptilos-crumeniferus	AVES	2.998132393	3.062022472	2408.25	4589	3	4
Leptoptilos-dubius	AVES	5.21409172	5.338217383	6035.111111	13061.44444	4	9
Leptoptilos-javanicus	AVES	4.513687959	4.38223172	5263.333333	11079.5	4	6
Leptosittaca-branickii	AVES	4.11622542	4.298507463	4728.833333	10240.66667	3	6
Leptosomus-discolor	AVES	3.218687873	3.449539487	5581	12501	3	6
Leptotila-battyi	AVES	1.781703691	1.830064225	2235.5	4783	1	2
Leptotila-cassini	AVES	1.582601181	1.630444219	2023.5	4358	1	2
Leptotila-conoveri	AVES	1.469689958	1.503215259	2031	4618	1	2
Leptotila-jamaicensis	AVES	2.530944024	2.708783179	4144.5	9062.25	2	4
Leptotila-megalura	AVES	2.671891699	2.797920092	4694	10114.75	3	4
Leptotila-ochraceiventris	AVES	1.97553313	2.058730731	3416.666667	7830.666667	1	3
Leptotila-pallida	AVES	1.582601181	1.630444219	2023.5	4358	1	2
Leptotila-plumbeiceps	AVES	1.582601181	1.630444219	2023.5	4358	1	2
Leptotila-rufaxilla	AVES	1.582601181	1.630444219	2023.5	4358	1	2
Leptotila-verreauxi	AVES	3.875525591	4.13612148	5667.428571	12363.14286	3	7
Leptotila-wellsi	AVES	0.999462366	0.999739312	0	0	1	1
Lerwa-lerwa	AVES	2.410894418	2.270732778	700.3333333	1931.666667	2	3
Lesbia-nuna	AVES	2.920625807	3.048938935	3346.25	7097.5	3	4
Lesbia-victoriae	AVES	3.513462027	3.673142271	3959.2	8339.6	4	5
Lessonia-oreas	AVES	2.78641701	2.939827342	1408.25	3764.75	2	4
Lessonia-rufa	AVES	4.188387097	4.238122496	1648.333333	3772.333333	3	6
Leucippus-baeri	AVES	1.580736544	1.620787657	1128.5	2294.5	2	2
Leucippus-chlorocercus	AVES	0.999801035	0.999904086	0	0	1	1
Leucippus-fallax	AVES	2.211085643	2.312419525	1938.333333	3738.333333	2	3
Leucippus-taczanowskii	AVES	2.159868301	2.262001157	2114.666667	4365	3	3
Leucochloris-albicollis	AVES	4.478595627	4.639155328	5648.5	12236.75	4	8
Leucogeranus-leucogeranus	AVES	3.835962145	3.905909868	2248.5	5385.166667	3	6
Leucopeza-semperi	AVES	1.469689958	1.503215259	2031	4618	1	2
Leucophaeus-scoresbii	AVES	1.920136908	2.316939891	269.8333333	422.75	1	12
Leucopsar-rothschildi	AVES	2.428788927	2.61705048	2581.75	5302.5	3	4
Leucopternis-albicollis	AVES	2.347452019	2.485876604	4073	9351.25	2	4
Leucopternis-kuhli	AVES	0.999801035	0.999904086	0	0	1	1
Leucopternis-lacernulatus	AVES	1.767393868	1.83381437	2604	5490	2	2
Leucopternis-melanops	AVES	2.463500564	2.483515759	3462.666667	7500.666667	2	3
Leucopternis-occidentalis	AVES	1.654661632	1.697798345	2255	4977	1	2
Leucopternis-plumbeus	AVES	0.999801035	0.999904086	0	0	1	1
Leucopternis-polionotus	AVES	1.632980333	1.675788532	2093	4532.5	2	2
Leucopternis-princeps	AVES	1.469689958	1.503215259	2031	4618	1	2
Leucopternis-schistaceus	AVES	2.694267516	2.652052239	1153.666667	1772	2	3
Leucopternis-semiplumbeus	AVES	2.038466049	2.128041887	2952.666667	6320.666667	2	3
Leucosarcia-melanoleuca	AVES	2.312904364	2.387156817	3721.333333	7950.333333	3	3
Leucosticte-arctoa	AVES	2.643243243	2.712874344	609	1850.333333	2	3
Leucosticte-atrata	AVES	0.989795918	0.99382716	0	0	1	1
Leucosticte-australis	AVES	0.989795918	0.99382716	0	0	1	1
Leucosticte-brandti	AVES	3.110100682	3.248843663	1625.25	4863	2	4
Leucosticte-nemoricola	AVES	1.81027668	1.83880403	411	1291.5	1	2
Leucosticte-tephrocotis	AVES	0.989795918	0.99382716	0	0	1	1
Lewinia-muelleri	AVES	1.884615385	1.790697674	24	35	2	2
Lewinia-pectoralis	AVES	7.331551398	6.497154729	5686.1	12172.8	4	10
Lichenostomus-chrysops	AVES	4.265970941	4.638315579	6294.888889	14573.66667	4	9
Lichenostomus-cratitius	AVES	3.200234192	3.205479452	1880	3704	3	4
Lichenostomus-fasciogularis	AVES	2.409516381	2.500465116	1808	3227	3	3
Lichenostomus-flavescens	AVES	3.462652439	3.655144033	3232	6453	3	6
Lichenostomus-flavicollis	AVES	2.720043278	2.743965712	1590.75	3866.5	3	4
Lichenostomus-flavus	AVES	4.049842271	4.251403767	5525.571429	11664.71429	4	7
Lichenostomus-frenatus	AVES	3.677983986	3.957791903	5394.125	11808.875	3	8
Lichenostomus-fuscus	AVES	3.8091191	4.071539658	3495.142857	7901	4	7
Lichenostomus-hindwoodi	AVES	2.025356577	2.060334833	3451.666667	7622.333333	2	3
Lichenostomus-keartlandi	AVES	2.378094059	2.422782387	1485.666667	2973.666667	1	3
Lichenostomus-leucotis	AVES	3.648709087	3.949006588	3723.571429	8122.142857	4	7
Lichenostomus-melanops	AVES	4.305921053	4.514001922	3590.285714	7834.714286	4	7
Lichenostomus-obscurus	AVES	2.326479647	2.414519812	3984.75	8827.25	2	4
Lichenostomus-ornatus	AVES	2.38272707	2.476290949	2066.333333	4432.333333	2	3
Lichenostomus-penicillatus	AVES	3.670320405	3.860259634	3168	7014.833333	4	6
Lichenostomus-plumulus	AVES	2.822201317	2.845568314	1938	3577.25	2	4
Lichenostomus-subfrenatus	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Lichenostomus-unicolor	AVES	3.858764971	4.291807099	5252.142857	11302.71429	3	7
Lichenostomus-versicolor	AVES	3.204435334	3.473831595	4732.6	10248.6	3	5
Lichenostomus-virescens	AVES	4.101680554	4.586822315	5491.75	11984.125	5	8
Lichmera-alboauricularis	AVES	3.915484455	4.21873529	3220.666667	6838.666667	5	6
Lichmera-argentauris	AVES	2.590482154	2.523056096	2541	4501.25	4	4
Lichmera-deningeri	AVES	2.719284723	2.952538631	4462.2	9907.4	2	5
Lichmera-flavicans	AVES	2.781669796	2.994697431	4934.8	11135.8	2	5
Lichmera-incana	AVES	3.493848112	3.706590101	4703.4	9899	4	5
Lichmera-indistincta	AVES	5.888520971	6.117566016	6443.181818	14183.63636	5	11
Lichmera-limbata	AVES	3.480477683	3.782284081	4882.166667	10062.66667	4	6
Lichmera-lombokia	AVES	2.326479647	2.414519812	3984.75	8827.25	2	4
Lichmera-monticola	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Lichmera-notabilis	AVES	2.233034247	2.303139183	3253.333333	6892	3	3
Lichmera-squamata	AVES	3.170709213	3.455748958	4708.4	10018	3	5
Limicola-falcinellus	AVES	6.103425775	6.115767482	1204.230769	3203.076923	2	13
Limnoctites-rectirostris	AVES	2.880127864	2.719941349	1177.333333	2347	2	3
Limnodromus-griseus	AVES	3.992663657	4.226175019	1061.6	2485.8	3	5
Limnodromus-scolopaceus	AVES	3.49867374	3.72869113	943	1889.8	2	5
Limnodromus-semipalmatus	AVES	6.212053571	6.997749437	1911.454545	5815.545455	3	11
Limnornis-curvirostris	AVES	2.721052632	3.364326376	328	1247	2	4
Limnothlypis-swainsonii	AVES	2.928609769	2.9188325	3594	7802.333333	3	3
Limosa-fedoa	AVES	3.784901758	4.104110263	1078.2	2523.4	3	5
Limosa-haemastica	AVES	4.100470958	4.347204493	988.5	2186.166667	3	6
Limosa-lapponica	AVES	7.555023923	8.770486229	1371	3809.833333	2	12
Limosa-limosa	AVES	5.801065719	5.67223301	2704	6016.5	4	10
Linurgus-olivaceus	AVES	0.999723604	0.999873801	0	0	1	1
Liocichla-bugunorum	AVES	1.674435411	1.718727915	1867.5	4069	1	2
Liocichla-omeiensis	AVES	1.735422106	1.815899582	1691	3803.5	2	2
Liocichla-phoenicea	AVES	2.459405941	2.53815261	2457.666667	5363	3	3
Liocichla-steerii	AVES	2.360679612	2.472940029	2804	6043	3	3
Lioptilus-nigricapillus	AVES	3.177620492	3.296802963	3231.5	7598.25	2	4
Liosceles-thoracicus	AVES	1.781703691	1.830064225	2235.5	4783	1	2
Lipaugus-fuscocinereus	AVES	0.999723604	0.999873801	0	0	1	1
Lipaugus-lanioides	AVES	1.469689958	1.503215259	2031	4618	1	2
Lipaugus-streptophorus	AVES	0.999723604	0.999873801	0	0	1	1
Lipaugus-unirufus	AVES	1.582601181	1.630444219	2023.5	4358	1	2
Lipaugus-uropygialis	AVES	0.999723604	0.999873801	0	0	1	1
Lipaugus-vociferans	AVES	2.061917515	2.144399877	3305.333333	7419	1	3
Lipaugus-weberi	AVES	0.999723604	0.999873801	0	0	1	1
Loboparadisea-sericea	AVES	1.469689958	1.503215259	2031	4618	1	2
Lochmias-nematura	AVES	1.469689958	1.503215259	2031	4618	1	2
Locustella-certhiola	AVES	4.223948333	4.414305095	2639.571429	6472.571429	3	7
Locustella-fasciolata	AVES	4.347761194	4.294690697	2991.666667	6765	4	6
Locustella-fluviatilis	AVES	5.151410783	5.083832691	3918.375	8605.125	4	8
Locustella-lanceolata	AVES	5.262032086	5.412404375	3454.666667	7755.555556	3	9
Locustella-luscinioides	AVES	4.223366874	4.470063386	5767.142857	12279.57143	4	7
Locustella-naevia	AVES	4.366625156	4.311465359	3380.25	6752.25	3	8
Locustella-ochotensis	AVES	4.291553134	4.074729597	2417	4691.5	3	6
Locustella-pleskei	AVES	2.719437115	2.649522724	1956	3860.333333	2	3
Locustella-pryeri	AVES	0.99890471	0.999496222	0	0	1	1
Loddigesia-mirabilis	AVES	2.277291571	2.40552017	2774	5959	2	3
Lonchura-atricapilla	AVES	3.893185658	4.053406467	5138.333333	10578	4	6
Lonchura-bicolor	AVES	3.873303489	4.197040924	5777.571429	12533.85714	4	7
Lonchura-caniceps	AVES	5.110915905	5.485206564	6382.636364	13492.90909	5	11
Lonchura-cantans	AVES	2.459674849	2.534929426	2290.5	4296.5	2	4
Lonchura-castaneothorax	AVES	4.122256739	4.601955233	3895.625	8429.125	4	8
Lonchura-cucullata	AVES	4.086053859	4.303440496	5861.857143	12551.71429	4	7
Lonchura-ferruginosa	AVES	3.233007393	3.132915283	2341.75	4337.75	2	4
Lonchura-flaviprymna	AVES	3.306059624	3.474399164	2847.6	5210.6	3	5
Lonchura-forbesi	AVES	0.99897855	0.999472017	0	0	1	1
Lonchura-fringilloides	AVES	3.346973838	3.690467196	5009.833333	10683.5	3	6
Lonchura-fuscans	AVES	4.022779043	4.159781985	5309	11016	4	7
Lonchura-grandis	AVES	2.676396807	2.706150342	1838.75	3746	2	4
Lonchura-griseicapilla	AVES	2.459674849	2.534929426	2290.5	4296.5	2	4
Lonchura-hunsteini	AVES	0.99897855	0.999472017	0	0	1	1
Lonchura-kelaarti	AVES	2.453225806	2.541698178	3605	7475.666667	3	3
Lonchura-leucogastra	AVES	2.745666562	2.84606295	4155.25	8593.5	4	4
Lonchura-leucogastroides	AVES	2.543234323	2.616085509	2339	4612.5	3	4
Lonchura-leucosticta	AVES	3.686148182	3.608499143	4670.6	10043.2	4	5
Lonchura-maja	AVES	2.78019802	2.70787236	2473.25	4670.75	3	4
Lonchura-malabarica	AVES	3.024031603	3.190735051	3075.166667	6180.333333	3	6
Lonchura-malacca	AVES	3.893185658	4.053406467	5138.333333	10578	4	6
Lonchura-melaena	AVES	2.406896552	2.391280947	1837	3447.666667	3	3
Lonchura-molucca	AVES	3.270146695	3.411417707	4767.4	9893.6	4	5
Lonchura-montana	AVES	3.172867628	3.182180668	2147.25	3968.75	3	4
Lonchura-monticola	AVES	0.997797357	0.999120493	0	0	1	1
Lonchura-nana	AVES	4.332040717	4.650147474	6111.222222	13201.55556	5	9
Lonchura-nevermanni	AVES	4.414942179	4.44620426	3207.142857	7212.428571	2	7
Lonchura-nigerrima	AVES	0.99897855	0.999472017	0	0	1	1
Lonchura-nigriceps	AVES	2.564544858	2.792313306	4173.25	9211.25	3	4
Lonchura-pallida	AVES	2.520837125	2.517974488	2090.25	3928	2	4
